gid;id;estacion;latitud;longitud;altitud;codreg;codprov;codcom;comuna;institucio;area;region;gid;id;estacion;latitud;longitud;altitud;codreg;codprov;codcom;comuna;institucio;area;region
1;1;Visviri;-17.594605;-69.4774;4075;15;152;15202;General Lagos;INIA;1;XV;1;1;Visviri;-17.594605;-69.4774;4075;15;152;15202;General Lagos;INIA;1;XV
2;2;Putre;-18.196949;-69.5537;3570;15;152;15201;Putre;INIA;2;XV;2;2;Putre;-18.196949;-69.5537;3570;15;152;15201;Putre;INIA;2;XV
3;3;Socoroma;-18.263889;-69.6077;3048;15;152;15201;Putre;INIA;3;XV;3;3;Socoroma;-18.263889;-69.6077;3048;15;152;15201;Putre;INIA;3;XV
4;4;Lago Chungará;-18.281824;-69.1385;4555;15;152;15201;Putre;INIA;4;XV;4;4;Lago Chungará;-18.281824;-69.1385;4555;15;152;15201;Putre;INIA;4;XV
5;5;Lluta Alto;-18.393556;-69.9633;891;15;151;15101;Arica;INIA;5;XV;5;5;Lluta Alto;-18.393556;-69.9633;891;15;151;15101;Arica;INIA;5;XV
6;6;Lluta Bajo Km. 10;-18.41371;-70.2061;213;15;151;15101;Arica;INIA;6;XV;6;6;Lluta Bajo Km. 10;-18.41371;-70.2061;213;15;151;15101;Arica;INIA;6;XV
7;7;Puro Chile - Lluta medio;-18.452168;-70.0671;552;15;151;15101;Arica;INIA;7;XV;7;7;Puro Chile - Lluta medio;-18.452168;-70.0671;552;15;151;15101;Arica;INIA;7;XV
8;8;Cerro Blanco;-18.57507;-70.0697;519;15;151;15101;Arica;INIA;8;XV;8;8;Cerro Blanco;-18.57507;-70.0697;519;15;151;15101;Arica;INIA;8;XV
9;9;Azapa Alto;-18.577454;-69.9473;841;15;151;15101;Arica;INIA;9;XV;9;9;Azapa Alto;-18.577454;-69.9473;841;15;151;15101;Arica;INIA;9;XV
10;10;Salar de Surire;-18.794647;-69.0844;4269;15;152;15201;Putre;INIA;10;XV;10;10;Salar de Surire;-18.794647;-69.0844;4269;15;152;15201;Putre;INIA;10;XV
11;11;Azapa medio Km. 19;-18.547728;-70.1246;384;15;151;15101;Arica;INIA;11;XV;11;11;Azapa medio Km. 19;-18.547728;-70.1246;384;15;151;15101;Arica;INIA;11;XV
12;12;Chaca;-18.809978;-70.1561;318;15;151;15101;Arica;INIA;11;XV;12;12;Chaca;-18.809978;-70.1561;318;15;151;15101;Arica;INIA;11;XV
13;13;Codpa;-18.832508;-69.7456;1859;15;151;15102;Camarones;INIA;12;XV;13;13;Codpa;-18.832508;-69.7456;1859;15;151;15102;Camarones;INIA;12;XV
14;14;Camarones;-19.010679;-69.8573;717;1;14;1404;Huara;INIA;13;I;14;14;Camarones;-19.010679;-69.8573;717;1;14;1404;Huara;INIA;13;I
15;15;Ollagüe;-21.2167;-68.2331;3696;2;22;2202;Ollagüe;INIA;14;II;15;15;Ollagüe;-21.2167;-68.2331;3696;2;22;2202;Ollagüe;INIA;14;II
16;16;Chiu Chiu;-22.320236;-68.6505;2558;2;22;2201;Calama;INIA;15;II;16;16;Chiu Chiu;-22.320236;-68.6505;2558;2;22;2201;Calama;INIA;15;II
17;17;Caspana;-22.334515;-68.2136;3232;2;22;2201;Calama;INIA;16;II;17;17;Caspana;-22.334515;-68.2136;3232;2;22;2201;Calama;INIA;16;II
18;18;Calama Rural;-22.47103;-68.943;3342;2;22;2201;Calama;INIA;17;II;18;18;Calama Rural;-22.47103;-68.943;3342;2;22;2201;Calama;INIA;17;II
19;19;San Pedro de Atacama;-22.9322;-68.2135;2407;2;22;2203;San Pedro de Atacama;INIA;18;II;19;19;San Pedro de Atacama;-22.9322;-68.2135;2407;2;22;2203;San Pedro de Atacama;INIA;18;II
20;20;Toconao;-23.1905;-68.0072;2473;2;22;2203;San Pedro de Atacama;INIA;19;II;20;20;Toconao;-23.1905;-68.0072;2473;2;22;2203;San Pedro de Atacama;INIA;19;II
21;21;Socaire;-23.590586;-67.8901;3268;2;22;2203;San Pedro de Atacama;INIA;20;II;21;21;Socaire;-23.590586;-67.8901;3268;2;22;2203;San Pedro de Atacama;INIA;20;II
22;22;Copiapó;-27.345833;-70.4078;342;3;31;3101;Copiapó;FDF;21;III;22;22;Copiapó;-27.345833;-70.4078;342;3;31;3101;Copiapó;FDF;21;III
23;23;Bodega;-27.343611;-70.3728;347;3;31;3101;Copiapó;FDF;22;III;23;23;Bodega;-27.343611;-70.3728;347;3;31;3101;Copiapó;FDF;22;III
24;24;Jotabeche;-27.588611;-70.2447;599;3;31;3103;Tierra Amarilla;FDF;23;III;24;24;Jotabeche;-27.588611;-70.2447;599;3;31;3103;Tierra Amarilla;FDF;23;III
25;25;Hornitos;-27.728889;-70.1967;769;3;31;3103;Tierra Amarilla;FDF;24;III;25;25;Hornitos;-27.728889;-70.1967;769;3;31;3103;Tierra Amarilla;FDF;24;III
26;26;Tranque Lautaro;-27.975583;-70;1132;3;31;3103;Tierra Amarilla;FDF;25;III;26;26;Tranque Lautaro;-27.975583;-70;1132;3;31;3103;Tierra Amarilla;FDF;25;III
27;27;Amolana Copiapó;-27.959806;-70.01;1091;3;31;3103;Tierra Amarilla;INIA;25;III;27;27;Amolana Copiapó;-27.959806;-70.01;1091;3;31;3103;Tierra Amarilla;INIA;25;III
28;28;Vallenar;-28.526306;-70.9431;226;3;33;3303;Freirina;FDF;26;III;28;28;Vallenar;-28.526306;-70.9431;226;3;33;3303;Freirina;FDF;26;III
29;29;CE Huasco Vallenar;-28.58113;-70.7983;465;3;33;3301;Vallenar;INIA;27;III;29;29;CE Huasco Vallenar;-28.58113;-70.7983;465;3;33;3301;Vallenar;INIA;27;III
30;30;Alto del Carmen;-28.768167;-70.4492;822;3;33;3302;Alto del Carmen;FDF;28;III;30;30;Alto del Carmen;-28.768167;-70.4492;822;3;33;3302;Alto del Carmen;FDF;28;III
31;31;Punta de Choros;-29.2459;-71.4687;0;4;41;4104;La Higuera;Ceaza;29;IV;31;31;Punta de Choros;-29.2459;-71.4687;0;4;41;4104;La Higuera;Ceaza;29;IV
32;32;La Serena [El Romeral];-29.75;-71.25;154;4;41;4101;La Serena;Ceaza;30;IV;32;32;La Serena [El Romeral];-29.75;-71.25;154;4;41;4101;La Serena;Ceaza;30;IV
33;33;Islote Pájaros;-29.5851;-71.5375;0;4;41;4104;La Higuera;Ceaza;31;IV;33;33;Islote Pájaros;-29.5851;-71.5375;0;4;41;4104;La Higuera;Ceaza;31;IV
34;34;Tongoy [Chispa];-30.278;-71.56317;0;4;41;4102;Coquimbo;Ceaza;31;IV;34;34;Tongoy [Chispa];-30.278;-71.56317;0;4;41;4102;Coquimbo;Ceaza;31;IV
35;35;Coquimbo [El Panul];-30;-71.4;139;4;41;4102;Coquimbo;Ceaza;31;IV;35;35;Coquimbo [El Panul];-30;-71.4;139;4;41;4102;Coquimbo;Ceaza;31;IV
36;36;UCN Guayacán;-29.9666;-71.3528;0;4;41;4102;Coquimbo;Ceaza;31;IV;36;36;UCN Guayacán;-29.9666;-71.3528;0;4;41;4102;Coquimbo;Ceaza;31;IV
37;37;Las Cardas;-30.2515;-71.2569;289;4;41;4102;Coquimbo;Ceaza;32;IV;37;37;Las Cardas;-30.2515;-71.2569;289;4;41;4102;Coquimbo;Ceaza;32;IV
38;38;Gabriela Mistral;-29.9833;-71.0833;234;4;41;4101;La Serena;Ceaza;32;IV;38;38;Gabriela Mistral;-29.9833;-71.0833;234;4;41;4101;La Serena;Ceaza;32;IV
39;39;Falernia;-30.0275;-70.8017;514;4;41;4106;Vicuña;METEOVID;33;IV;39;39;Falernia;-30.0275;-70.8017;514;4;41;4106;Vicuña;METEOVID;33;IV
40;40;Vicuña [INIA];-30.0383;-70.6966;637;4;41;4106;Vicuña;Ceaza;34;IV;40;40;Vicuña [INIA];-30.0383;-70.6966;637;4;41;4106;Vicuña;Ceaza;34;IV
41;41;Vicuña;-30.038333;-70.6967;638;4;41;4106;Vicuña;FDF;34;IV;41;41;Vicuña;-30.038333;-70.6967;638;4;41;4106;Vicuña;FDF;34;IV
42;42;Rivadavia;-29.9618;-70.5389;882;4;41;4106;Vicuña;Ceaza;35;IV;42;42;Rivadavia;-29.9618;-70.5389;882;4;41;4106;Vicuña;Ceaza;35;IV
43;43;Pisco Elqui;-30.1167;-70.4833;1588;4;41;4105;Paiguano;Ceaza;35;IV;43;43;Pisco Elqui;-30.1167;-70.4833;1588;4;41;4105;Paiguano;Ceaza;35;IV
44;44;Paiguano;-30.046944;-70.5108;1198;4;41;4105;Paiguano;FDF;35;IV;44;44;Paiguano;-30.046944;-70.5108;1198;4;41;4105;Paiguano;FDF;35;IV
45;45;Pan de Azúcar [INIA];-30.0667;-71.2333;147;4;41;4102;Coquimbo;Ceaza;36;IV;45;45;Pan de Azúcar [INIA];-30.0667;-71.2333;147;4;41;4102;Coquimbo;Ceaza;36;IV
46;46;La Laguna [Elqui];-30.2029;-70.0372;3212;4;41;4106;Vicuña;Ceaza;37;IV;46;46;La Laguna [Elqui];-30.2029;-70.0372;3212;4;41;4106;Vicuña;Ceaza;37;IV
47;47;Hurtado [Lavaderos];-30.3092;-70.6265;1462;4;43;4305;Río Hurtado;Ceaza;38;IV;47;47;Hurtado [Lavaderos];-30.3092;-70.6265;1462;4;43;4305;Río Hurtado;Ceaza;38;IV
48;48;Quebrada Seca;-30.4961;-71.4905;188;4;43;4301;Ovalle;Ceaza;39;IV;48;48;Quebrada Seca;-30.4961;-71.4905;188;4;43;4301;Ovalle;Ceaza;39;IV
49;49;Recoleta;-30.490917;-71.1658;408;4;43;4301;Ovalle;FDF;40;IV;49;49;Recoleta;-30.490917;-71.1658;408;4;43;4301;Ovalle;FDF;40;IV
50;50;Tamaya;-30.566389;-71.3961;291;4;43;4301;Ovalle;METEOVID;41;IV;50;50;Tamaya;-30.566389;-71.3961;291;4;43;4301;Ovalle;METEOVID;41;IV
51;51;Algarrobo Bajo;-30.6331;-71.4514;72;4;43;4301;Ovalle;INIA;42;IV;51;51;Algarrobo Bajo;-30.6331;-71.4514;72;4;43;4301;Ovalle;INIA;42;IV
52;52;Monte Patria;-30.682222;-70.9394;565;4;43;4303;Monte Patria;FDF;43;IV;52;52;Monte Patria;-30.682222;-70.9394;565;4;43;4303;Monte Patria;FDF;43;IV
53;53;San Julián;-30.655278;-71.3189;262;4;43;4301;Ovalle;FDF;44;IV;53;53;San Julián;-30.655278;-71.3189;262;4;43;4301;Ovalle;FDF;44;IV
