FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0000;7,96916;;;
090126;0000;5,67666;;;
090127;0000;8,8425;;;
090128;0000;7,31416;;;
090129;0000;4,03917;;;
090130;0000;2,9475;;;
090131;0000;5,13083;;;
090201;0000;4,69416;;;
090202;0000;4,47583;;;
090203;0000;9,4975;;;
090204;0000;3,38416;;;
090205;0000;5,78583;;;
090206;0000;9,60666;;;
090207;0000;4,69416;;;
090208;0000;5,34916;;;
090209;0000;4,69416;;;
090210;0000;5,5675;;;
090211;0000;9,06083;;;
090212;0000;6,11333;;;
090213;0000;4,80333;;;
090214;0000;4,03917;;;
090215;0000;3,93;;;
090216;0000;3,38416;;;
090217;0000;6,44083;;;
090218;0000;6,00416;;;
090219;0000;4,14833;;;
090220;0000;5,02166;;;
090221;0000;3,93;;;
090222;0000;5,24;;;
090223;0000;3,93;;;
090224;0000;8,8425;;;
090225;0000;8,1875;;;
090226;0000;7,64166;;;
090227;0000;5,34916;;;
090228;0000;3,71166;;;
090301;0000;3,71166;;;
090302;0000;3,93;;;
090303;0000;2,72916;;;
090304;0000;8,62416;;;
090305;0000;5,895;;;
090306;0000;5,895;;;
090307;0000;6,11333;;;
090308;0000;4,9125;;;
090309;0000;8,62416;;;
090310;0000;3,93;;;
090311;0000;9,27916;;;
090312;0000;5,67666;;;
090313;0000;6,76833;;;
090314;0000;4,36666;;;
090315;0000;6,76833;;;
090316;0000;3,05666;;;
090317;0000;3,93;;;
090318;0000;4,10087;;;
090319;0000;4,80333;;;
090320;0000;5,02166;;;
090321;0000;6,00416;;;
090322;0000;5,78583;;;
090323;0000;7,205;;;
090324;0000;6,2225;;;
090325;0000;7,64166;;;
090326;0000;7,42333;;;
090327;0000;6,11333;;;
090328;0000;8,40583;;;
090329;0000;6,44083;;;
090330;0000;6,98666;;;
090331;0000;9,60666;;;
090401;0000;5,895;;;
090402;0000;6,65916;;;
090403;0000;;;188,125;
090404;0000;;;97,4629;
090405;0000;;;62,6077;
090406;0000;;;21,0145;
090407;0000;;;47,3593;
090408;0000;6,55;;;
090409;0000;7,75083;;;
090410;0000;5,34916;;;
090411;0000;4,9125;;;
090412;0000;4,36666;;;
090413;0000;5,24;;;
090414;0000;10,48;;;
090415;0000;9,93416;;;
090416;0000;7,42333;;;
090417;0000;5,67666;;;
090418;0000;7,31416;;;
090419;0000;7,75083;;;
090420;0000;8,62416;;;
090421;0000;8,29666;;;
090422;0000;7,96916;;;
090423;0000;10,9167;;;
090424;0000;11,135;;;
090425;0000;14,8467;;;
090426;0000;15,2833;;;
090427;0000;11,8992;;;
090428;0000;13,755;;;
090429;0000;8,07833;;;
090430;0000;5,5675;;;
090501;0000;7,86;;;
090502;0000;5,34916;;;
090503;0000;5,34916;;;
090504;0000;7,86;;;
090505;0000;15,3925;;;
090506;0000;13,3183;;;
090507;0000;5,78583;;;
090508;0000;8,07833;;;
090509;0000;7,96916;;;
090510;0000;7,31416;;;
090511;0000;8,515;;;
090512;0000;7,42333;;;
090513;0000;6,2225;;;
090514;0000;6,11333;;;
090515;0000;10,1525;;;
090516;0000;9,60666;;;
090517;0000;7,42333;;;
090518;0000;7,75083;;;
090519;0000;13,5367;;;
090520;0000;12,2267;;;
090521;0000;11,3533;;;
090522;0000;14,41;;;
090523;0000;12,1175;;;
090524;0000;9,60666;;;
090525;0000;7,96916;;;
090526;0000;6,98666;;;
090527;0000;8,95166;;;
090528;0000;10,8075;;;
090529;0000;8,515;;;
090530;0000;7,75083;;;
090531;0000;11,3533;;;
090601;0000;22,1608;;;
090602;0000;17,2483;;;
090603;0000;16,5933;;;
090604;0000;15,9383;;;
090605;0000;15,6108;;;
090606;0000;13,5367;;;
090607;0000;6,44083;;;
090608;0000;8,29666;;;
090609;0000;14,6283;;;
090610;0000;13,8642;;;
090611;0000;17,03;;;
090612;0000;13,6458;;;
090613;0000;8,515;;;
090614;0000;8,1875;;;
090615;0000;7,96916;;;
090616;0000;8,62416;;;
090617;0000;9,27916;;;
090618;0000;11,135;;;
090619;0000;9,71583;;;
090620;0000;7,31416;;;
090621;0000;9,93416;;;
090622;0000;10,0433;;;
090623;0000;12,9908;;;
090624;0000;12,8817;;;
090625;0000;11,5717;;;
090626;0000;11,135;;;
090627;0000;11,0258;;;
090628;0000;7,5325;;;
090629;0000;8,515;;;
090630;0000;8,1875;;;
090701;0000;3,05666;;;
090702;0000;7,42333;;;
090703;0000;9,4975;;;
090704;0000;6,8775;;;
090705;0000;3,49333;;;
090706;0000;3,38416;;;
090707;0000;4,03917;;;
090708;0000;10,48;;;
090709;0000;8,8425;;;
090710;0000;7,86;;;
090711;0000;10,6983;;;
090712;0000;8,95166;;;
090713;0000;6,33166;;;
090714;0000;5,02166;;;
090715;0000;5,34916;;;
090716;0000;5,67666;;;
090717;0000;3,275;;;
090718;0000;3,16583;;;
090719;0000;2,72916;;;
090720;0000;4,36666;;;
090721;0000;3,16583;;;
090722;0000;3,16583;;;
090723;0000;11,79;;;
090724;0000;18,5583;;;
090725;0000;14,9558;;;
090726;0000;11,3533;;;
090727;0000;12,0083;;;
090728;0000;14,5192;;;
090729;0000;10,2617;;;
090730;0000;9,27916;;;
090731;0000;8,62416;;;
090801;0000;14,6283;;;
090802;0000;10,9167;;;
090803;0000;10,5892;;;
090804;0000;6,98666;;;
090805;0000;;;;
090806;0000;10,0433;;;
090807;0000;9,06083;;;
090808;0000;11,6808;;;
090809;0000;11,6808;;;
090810;0000;16,7025;;;
090811;0000;18,2308;;;
090812;0000;9,38833;;;
090813;0000;8,62416;;;
090814;0000;8,73333;;;
090815;0000;5,45833;;;
090816;0000;6,76833;;;
090817;0000;8,73333;;;
090818;0000;6,76833;;;
090819;0000;6,33166;;;
090820;0000;8,29666;;;
090821;0000;8,515;;;
090822;0000;9,71583;;;
090823;0000;8,62416;;;
090824;0000;10,3708;;;
090825;0000;13,755;;;
090826;0000;16,375;;;
090827;0000;18,4492;;;
090828;0000;14,41;;;
090829;0000;8,515;;;
090830;0000;8,62416;;;
090831;0000;8,62416;;;
090901;0000;8,29666;;;
090902;0000;8,07833;;;
090903;0000;8,515;;;
090904;0000;11,5717;;;
090905;0000;8,40583;;;
090906;0000;7,86;;;
090907;0000;7,64166;;;
090908;0000;10,3708;;;
090909;0000;12,7725;;;
090910;0000;13,2191;;;
090911;0000;9,05091;;;
090912;0000;;;;
090913;0000;2,62;;;
090914;0000;2,62;;;
090915;0000;2,72916;;;
090916;0000;4,14833;;;
090917;0000;2,83833;;;
090918;0000;3,16583;;;
090919;0000;6,00416;;;
090920;0000;7,42333;;;
090921;0000;2,72916;;;
090922;0000;5,24;;;
090923;0000;5,895;;;
090924;0000;4,47583;;;
090925;0000;3,05666;;;
090926;0000;2,72916;;;
090927;0000;2,62;;;
090928;0000;3,38416;;;
090929;0000;6,2225;;;
090930;0000;3,16583;;;
091001;0000;7,96916;;;
091002;0000;2,83833;;;
091003;0000;5,5675;;;
091004;0000;2,9475;;;
091005;0000;2,62;;;
091006;0000;6,8775;;;
091007;0000;2,83833;;;
091008;0000;2,83833;;;
091009;0000;3,6025;;;
091010;0000;2,83833;;;
091011;0000;2,62;;;
091012;0000;7,75083;;;
091013;0000;2,85818;;;
091014;0000;2,62;;;
091015;0000;2,62;;;
091016;0000;;;;
091017;0000;2,62;;;
091018;0000;2,62;;;
091019;0000;5,24;;;
091020;0000;3,49333;;;
091021;0000;4,36666;;;
091022;0000;4,9125;;;
091023;0000;2,62;;;
091024;0000;3,82083;;;
091025;0000;6,00416;;;
091026;0000;6,33166;;;
091027;0000;2,9475;;;
091028;0000;11,135;;;
091029;0000;3,275;;;
091030;0000;3,6025;;;
091031;0000;2,62;;;
091101;0000;2,72916;;;
091102;0000;2,62;;;
091103;0000;2,62;;;
091104;0000;2,83833;;;
091105;0000;2,83833;;;
091106;0000;2,83833;;;
091107;0000;2,72916;;;
091108;0000;2,72916;;;
091109;0000;2,72916;;;
091110;0000;8,8425;;;
091111;0000;2,62;;;
091112;0000;2,9475;;;
091113;0000;2,62;;;
091114;0000;3,49333;;;
091115;0000;4,80333;;;
091116;0000;3,38416;;;
091117;0000;3,6025;;;
091118;0000;3,82083;;;
091119;0000;3,16583;;;
091120;0000;5,45833;;;
091121;0000;5,67666;;;
091122;0000;3,49333;;;
091123;0000;3,82083;;;
091124;0000;2,62;;;
