FECHA (YYMMDD);HORA (HHMM);;
150509;0100;;
150509;0200;;
150509;0300;;
150509;0400;;
150509;0500;;
150509;0600;;
150509;0700;;
150509;0800;;
150509;0900;;
150509;1000;;
150509;1100;167;
150509;1200;345;
150509;1300;553;
150509;1400;509;
150509;1500;470;
150509;1600;343;
150509;1700;217;
150509;1800;42;
150509;1900;0;
150509;2000;0;
150509;2100;0;
150509;2200;0;
150509;2300;0;
150510;0000;0;
150510;0100;0;
150510;0200;0;
150510;0300;0;
150510;0400;0;
150510;0500;0;
150510;0600;0;
150510;0700;0;
150510;0800;4;
150510;0900;40;
150510;1000;116;
150510;1100;167;
150510;1200;282;
150510;1300;534;
150510;1400;540;
150510;1500;419;
150510;1600;370;
150510;1700;199;
150510;1800;49;
150510;1900;0;
150510;2000;0;
150510;2100;0;
150510;2200;0;
150510;2300;0;
150511;0000;0;
150511;0100;0;
150511;0200;0;
150511;0300;0;
150511;0400;0;
150511;0500;0;
150511;0600;0;
150511;0700;0;
150511;0800;2;
150511;0900;18;
150511;1000;105;
150511;1100;211;
150511;1200;463;
150511;1300;553;
150511;1400;538;
150511;1500;475;
150511;1600;358;
150511;1700;205;
150511;1800;46;
150511;1900;0;
150511;2000;0;
150511;2100;0;
150511;2200;0;
150511;2300;0;
150512;0000;0;
150512;0100;0;
150512;0200;0;
150512;0300;0;
150512;0400;0;
150512;0500;0;
150512;0600;0;
150512;0700;0;
150512;0800;7;
150512;0900;54;
150512;1000;160;
150512;1100;270;
150512;1200;409;
150512;1300;512;
150512;1400;452;
150512;1500;407;
150512;1600;303;
150512;1700;200;
150512;1800;55;
150512;1900;0;
150512;2000;0;
150512;2100;0;
150512;2200;0;
150512;2300;0;
150513;0000;0;
150513;0100;0;
150513;0200;0;
150513;0300;0;
150513;0400;0;
150513;0500;0;
150513;0600;0;
150513;0700;0;
150513;0800;2;
150513;0900;32;
150513;1000;122;
150513;1100;143;
150513;1200;341;
150513;1300;536;
150513;1400;522;
150513;1500;447;
150513;1600;339;
150513;1700;194;
150513;1800;42;
150513;1900;1;
150513;2000;0;
150513;2100;0;
150513;2200;0;
150513;2300;0;
150514;0000;0;
150514;0100;0;
150514;0200;0;
150514;0300;0;
150514;0400;0;
150514;0500;0;
150514;0600;0;
150514;0700;0;
150514;0800;3;
150514;0900;48;
150514;1000;165;
150514;1100;217;
150514;1200;254;
150514;1300;454;
150514;1400;522;
150514;1500;450;
150514;1600;268;
150514;1700;91;
150514;1800;16;
150514;1900;0;
150514;2000;0;
150514;2100;0;
150514;2200;0;
150514;2300;0;
150515;0000;0;
150515;0100;0;
150515;0200;0;
150515;0300;0;
150515;0400;0;
150515;0500;0;
150515;0600;0;
150515;0700;0;
150515;0800;4;
150515;0900;58;
150515;1000;228;
150515;1100;378;
150515;1200;470;
150515;1300;513;
150515;1400;512;
150515;1500;446;
150515;1600;332;
150515;1700;185;
150515;1800;27;
150515;1900;0;
150515;2000;0;
150515;2100;0;
150515;2200;0;
150515;2300;0;
150516;0000;0;
150516;0100;0;
150516;0200;0;
150516;0300;0;
150516;0400;0;
150516;0500;0;
150516;0600;0;
150516;0700;0;
150516;0800;5;
150516;0900;64;
150516;1000;166;
150516;1100;332;
150516;1200;466;
150516;1300;500;
150516;1400;495;
150516;1500;438;
150516;1600;354;
150516;1700;188;
150516;1800;26;
150516;1900;0;
150516;2000;0;
150516;2100;0;
150516;2200;0;
150516;2300;0;
150517;0000;0;
150517;0100;0;
150517;0200;0;
150517;0300;0;
150517;0400;0;
150517;0500;0;
150517;0600;0;
150517;0700;0;
150517;0800;3;
150517;0900;46;
150517;1000;191;
150517;1100;319;
150517;1200;437;
150517;1300;497;
150517;1400;453;
150517;1500;384;
150517;1600;267;
150517;1700;146;
150517;1800;46;
150517;1900;0;
150517;2000;0;
150517;2100;0;
150517;2200;0;
150517;2300;0;
150518;0000;0;
150518;0100;0;
150518;0200;0;
150518;0300;0;
150518;0400;0;
150518;0500;0;
150518;0600;0;
150518;0700;0;
150518;0800;4;
150518;0900;47;
150518;1000;109;
150518;1100;197;
150518;1200;;
150518;1300;;
150518;1400;;
150518;1500;;
150518;1600;;
150518;1700;;
150518;1800;;
150518;1900;;
150518;2000;;
150518;2100;;
150518;2200;;
150518;2300;;
150519;0000;;
150519;0100;;
150519;0200;;
150519;0300;;
150519;0400;;
150519;0500;;
150519;0600;;
150519;0700;;
150519;0800;;
150519;0900;;
150519;1000;;
150519;1100;;
150519;1200;;
150519;1300;;
150519;1400;;
150519;1500;;
150519;1600;;
150519;1700;;
150519;1800;;
150519;1900;;
150519;2000;;
150519;2100;;
150519;2200;;
150519;2300;;
150520;0000;;
150520;0100;;
150520;0200;;
150520;0300;;
150520;0400;;
150520;0500;;
150520;0600;;
150520;0700;;
150520;0800;;
150520;0900;;
150520;1000;;
150520;1100;;
150520;1200;;
150520;1300;;
150520;1400;;
150520;1500;;
150520;1600;;
150520;1700;;
150520;1800;;
150520;1900;;
150520;2000;;
150520;2100;;
150520;2200;;
150520;2300;;
150521;0000;;
150521;0100;;
150521;0200;;
150521;0300;;
150521;0400;;
150521;0500;;
150521;0600;;
150521;0700;;
150521;0800;;
150521;0900;;
150521;1000;;
150521;1100;;
150521;1200;;
150521;1300;;
150521;1400;;
150521;1500;;
150521;1600;;
150521;1700;;
150521;1800;;
150521;1900;;
150521;2000;;
150521;2100;;
150521;2200;;
150521;2300;;
150522;0000;;
150522;0100;;
150522;0200;;
150522;0300;;
150522;0400;;
150522;0500;;
150522;0600;;
150522;0700;;
150522;0800;;
150522;0900;44;
150522;1000;138;
150522;1100;192;
150522;1200;263;
150522;1300;267;
150522;1400;295;
150522;1500;305;
150522;1600;284;
150522;1700;185;
150522;1800;33;
150522;1900;0;
150522;2000;0;
150522;2100;0;
150522;2200;0;
150522;2300;0;
150523;0000;0;
150523;0100;0;
150523;0200;0;
150523;0300;0;
150523;0400;0;
150523;0500;0;
150523;0600;0;
150523;0700;0;
150523;0800;2;
150523;0900;32;
150523;1000;95;
150523;1100;183;
150523;1200;361;
150523;1300;493;
150523;1400;500;
150523;1500;469;
150523;1600;175;
150523;1700;71;
150523;1800;18;
150523;1900;0;
150523;2000;0;
150523;2100;0;
150523;2200;0;
150523;2300;0;
150524;0000;0;
150524;0100;0;
150524;0200;0;
150524;0300;0;
150524;0400;0;
150524;0500;0;
150524;0600;0;
150524;0700;0;
150524;0800;1;
150524;0900;23;
150524;1000;58;
150524;1100;77;
150524;1200;117;
150524;1300;196;
150524;1400;483;
150524;1500;437;
150524;1600;319;
150524;1700;171;
150524;1800;29;
150524;1900;0;
150524;2000;0;
150524;2100;0;
150524;2200;0;
150524;2300;0;
150525;0000;0;
150525;0100;0;
150525;0200;0;
150525;0300;0;
150525;0400;0;
150525;0500;0;
150525;0600;0;
150525;0700;0;
150525;0800;1;
150525;0900;24;
150525;1000;80;
150525;1100;123;
150525;1200;166;
150525;1300;211;
150525;1400;427;
150525;1500;434;
150525;1600;333;
150525;1700;180;
150525;1800;25;
150525;1900;0;
150525;2000;0;
150525;2100;0;
150525;2200;0;
150525;2300;0;
150526;0000;0;
150526;0100;0;
150526;0200;0;
150526;0300;0;
150526;0400;0;
150526;0500;0;
150526;0600;0;
150526;0700;0;
150526;0800;2;
150526;0900;50;
150526;1000;232;
150526;1100;358;
150526;1200;450;
150526;1300;498;
150526;1400;489;
150526;1500;426;
150526;1600;312;
150526;1700;162;
150526;1800;25;
150526;1900;0;
150526;2000;0;
150526;2100;0;
150526;2200;0;
150526;2300;0;
150527;0000;0;
150527;0100;0;
150527;0200;0;
150527;0300;0;
150527;0400;0;
150527;0500;0;
150527;0600;0;
150527;0700;0;
150527;0800;1;
150527;0900;19;
150527;1000;67;
150527;1100;112;
150527;1200;142;
150527;1300;142;
150527;1400;167;
150527;1500;176;
150527;1600;107;
150527;1700;68;
150527;1800;7;
150527;1900;0;
150527;2000;0;
150527;2100;0;
150527;2200;0;
150527;2300;0;
150528;0000;0;
150528;0100;0;
150528;0200;0;
150528;0300;0;
150528;0400;0;
150528;0500;0;
150528;0600;0;
150528;0700;0;
150528;0800;1;
150528;0900;22;
150528;1000;64;
150528;1100;108;
150528;1200;145;
150528;1300;117;
150528;1400;96;
150528;1500;56;
150528;1600;20;
150528;1700;;
150528;1800;2;
150528;1900;0;
150528;2000;0;
150528;2100;0;
150528;2200;0;
150528;2300;0;
150529;0000;0;
150529;0100;0;
150529;0200;0;
150529;0300;0;
150529;0400;0;
150529;0500;0;
150529;0600;0;
150529;0700;0;
150529;0800;0;
150529;0900;16;
150529;1000;35;
150529;1100;117;
150529;1200;142;
150529;1300;376;
150529;1400;425;
150529;1500;400;
150529;1600;345;
150529;1700;161;
150529;1800;23;
150529;1900;0;
150529;2000;0;
150529;2100;0;
150529;2200;0;
150529;2300;0;
150530;0000;0;
150530;0100;0;
150530;0200;0;
150530;0300;0;
150530;0400;0;
150530;0500;0;
150530;0600;0;
150530;0700;0;
150530;0800;1;
150530;0900;30;
150530;1000;79;
150530;1100;129;
150530;1200;140;
150530;1300;131;
150530;1400;107;
150530;1500;152;
150530;1600;208;
150530;1700;154;
150530;1800;21;
150530;1900;0;
150530;2000;0;
150530;2100;0;
150530;2200;0;
150530;2300;0;
150531;0000;0;
150531;0100;0;
150531;0200;0;
150531;0300;0;
150531;0400;0;
150531;0500;0;
150531;0600;0;
150531;0700;0;
150531;0800;1;
150531;0900;13;
150531;1000;46;
150531;1100;110;
150531;1200;143;
150531;1300;183;
150531;1400;227;
150531;1500;255;
150531;1600;117;
150531;1700;67;
150531;1800;15;
150531;1900;0;
150531;2000;0;
150531;2100;0;
150531;2200;0;
150531;2300;0;
150601;0000;0;
150601;0100;0;
150601;0200;0;
150601;0300;0;
150601;0400;0;
150601;0500;0;
150601;0600;0;
150601;0700;0;
150601;0800;0;
150601;0900;13;
150601;1000;38;
150601;1100;93;
150601;1200;106;
150601;1300;78;
150601;1400;80;
150601;1500;87;
150601;1600;39;
150601;1700;23;
150601;1800;5;
150601;1900;0;
150601;2000;0;
150601;2100;0;
150601;2200;0;
150601;2300;0;
150602;0000;0;
150602;0100;0;
150602;0200;0;
150602;0300;0;
150602;0400;0;
150602;0500;0;
150602;0600;0;
150602;0700;0;
150602;0800;1;
150602;0900;21;
150602;1000;87;
150602;1100;126;
150602;1200;163;
150602;1300;190;
150602;1400;155;
150602;1500;118;
150602;1600;48;
150602;1700;39;
150602;1800;6;
150602;1900;0;
150602;2000;0;
150602;2100;0;
150602;2200;0;
150602;2300;0;
150603;0000;0;
150603;0100;0;
150603;0200;0;
150603;0300;0;
150603;0400;0;
150603;0500;0;
150603;0600;0;
150603;0700;0;
150603;0800;1;
150603;0900;30;
150603;1000;93;
150603;1100;220;
150603;1200;402;
150603;1300;455;
150603;1400;319;
150603;1500;242;
150603;1600;199;
150603;1700;158;
150603;1800;17;
150603;1900;0;
150603;2000;0;
150603;2100;0;
150603;2200;0;
150603;2300;0;
150604;0000;0;
150604;0100;0;
150604;0200;0;
150604;0300;0;
150604;0400;0;
150604;0500;0;
150604;0600;0;
150604;0700;0;
150604;0800;0;
150604;0900;23;
150604;1000;76;
150604;1100;114;
150604;1200;144;
150604;1300;193;
150604;1400;224;
150604;1500;129;
150604;1600;64;
150604;1700;37;
150604;1800;6;
150604;1900;0;
150604;2000;0;
150604;2100;0;
150604;2200;0;
150604;2300;0;
150605;0000;0;
150605;0100;0;
150605;0200;0;
150605;0300;0;
150605;0400;0;
150605;0500;0;
150605;0600;0;
150605;0700;0;
150605;0800;0;
150605;0900;7;
150605;1000;19;
150605;1100;31;
150605;1200;49;
150605;1300;90;
150605;1400;103;
150605;1500;108;
150605;1600;67;
150605;1700;43;
150605;1800;6;
150605;1900;0;
150605;2000;0;
